iter	Passed	Remaining
0	271	54097
1	280	27751
2	288	18925
3	295	14473
4	306	11946
5	313	10142
6	321	8875
7	328	7880
8	336	7137
9	343	6524
10	352	6058
11	358	5615
12	364	5246
13	370	4920
14	375	4633
15	382	4397
16	387	4175
17	393	3977
18	399	3809
19	406	3654
20	412	3517
21	418	3387
22	424	3268
23	432	3173
24	439	3076
25	446	2986
26	452	2901
27	460	2828
28	466	2752
29	473	2681
30	480	2617
31	486	2552
32	493	2495
33	499	2439
34	506	2387
35	513	2337
36	519	2288
37	526	2246
38	533	2200
39	540	2160
40	546	2119
41	552	2080
42	559	2044
43	566	2008
44	572	1972
45	579	1939
46	585	1905
47	592	1874
48	598	1844
49	604	1813
50	610	1783
51	616	1754
52	622	1727
53	628	1699
54	634	1672
55	640	1647
56	646	1621
57	652	1598
58	658	1574
59	664	1550
60	670	1528
61	676	1505
62	682	1483
63	688	1462
64	694	1441
65	700	1422
66	706	1403
67	713	1384
68	719	1365
69	725	1348
70	732	1330
71	738	1313
72	744	1295
73	751	1279
74	758	1263
75	764	1247
76	770	1231
77	777	1216
78	784	1201
79	790	1186
80	796	1169
81	802	1154
82	808	1139
83	816	1127
84	822	1113
85	829	1099
86	835	1085
87	841	1071
88	848	1058
89	855	1045
90	861	1032
91	868	1019
92	873	1004
93	880	992
94	886	979
95	891	966
96	897	953
97	903	940
98	909	928
99	915	915
100	921	903
101	927	891
102	933	879
103	939	867
104	945	855
105	951	843
106	958	832
107	964	821
108	970	810
109	976	799
110	983	788
111	989	777
112	996	766
113	1002	756
114	1008	745
115	1015	735
116	1021	724
117	1027	714
118	1034	703
119	1040	693
120	1047	683
121	1053	673
122	1059	663
123	1066	653
124	1073	644
125	1080	634
126	1086	624
127	1092	614
128	1099	605
129	1106	595
130	1112	586
131	1120	577
132	1125	567
133	1131	557
134	1138	548
135	1144	538
136	1150	529
137	1156	519
138	1162	510
139	1169	501
140	1175	491
141	1181	482
142	1187	473
143	1192	463
144	1198	454
145	1205	445
146	1211	436
147	1218	428
148	1224	419
149	1230	410
150	1237	401
151	1243	392
152	1250	384
153	1255	375
154	1262	366
155	1268	357
156	1274	349
157	1281	340
158	1287	331
159	1294	323
160	1300	314
161	1306	306
162	1313	298
163	1320	289
164	1326	281
165	1332	273
166	1339	264
167	1346	256
168	1352	248
169	1359	239
170	1366	231
171	1372	223
172	1378	215
173	1384	206
174	1390	198
175	1396	190
176	1402	182
177	1408	174
178	1414	165
179	1419	157
180	1425	149
181	1431	141
182	1437	133
183	1444	125
184	1449	117
185	1455	109
186	1461	101
187	1467	93
188	1473	85
189	1479	77
190	1485	70
191	1492	62
192	1498	54
193	1504	46
194	1510	38
195	1517	30
196	1523	23
197	1530	15
198	1537	7
199	1543	0
