iter	Passed	Remaining
0	14	2853
1	26	2650
2	36	2418
3	46	2274
4	56	2186
5	65	2115
6	78	2167
7	87	2104
8	96	2038
9	108	2069
10	116	2006
11	126	1980
12	138	1991
13	149	1979
14	158	1953
15	173	1995
16	184	1989
17	195	1980
18	206	1968
19	215	1943
20	224	1911
21	237	1921
22	247	1902
23	255	1874
24	268	1880
25	276	1851
26	287	1839
27	298	1832
28	306	1806
29	316	1791
30	326	1780
31	336	1767
32	349	1767
33	360	1759
34	368	1738
35	380	1732
36	391	1723
37	401	1710
38	412	1702
39	421	1687
40	432	1677
41	444	1670
42	452	1651
43	461	1637
44	471	1625
45	480	1607
46	491	1598
47	500	1585
48	509	1570
49	515	1546
50	525	1536
51	535	1525
52	545	1514
53	557	1507
54	566	1493
55	577	1484
56	589	1479
57	599	1467
58	608	1454
59	620	1447
60	629	1433
61	640	1425
62	652	1418
63	661	1405
64	671	1394
65	681	1383
66	689	1368
67	698	1356
68	707	1342
69	718	1333
70	728	1323
71	738	1312
72	751	1306
73	760	1295
74	769	1282
75	780	1274
76	791	1264
77	800	1252
78	810	1241
79	819	1229
80	829	1218
81	838	1206
82	849	1196
83	860	1188
84	870	1177
85	881	1168
86	891	1157
87	899	1145
88	910	1135
89	919	1123
90	929	1112
91	943	1107
92	954	1097
93	964	1088
94	974	1077
95	985	1068
96	996	1058
97	1012	1053
98	1025	1046
99	1037	1037
100	1049	1029
101	1061	1019
102	1072	1009
103	1085	1001
104	1094	990
105	1107	982
106	1120	973
107	1134	966
108	1149	959
109	1161	950
110	1171	939
111	1182	928
112	1192	918
113	1204	908
114	1217	899
115	1228	889
116	1238	878
117	1249	868
118	1260	858
119	1270	847
120	1285	839
121	1295	828
122	1305	817
123	1316	806
124	1327	796
125	1340	787
126	1349	775
127	1363	766
128	1375	757
129	1383	745
130	1396	735
131	1407	725
132	1417	714
133	1429	704
134	1439	692
135	1449	682
136	1460	671
137	1472	661
138	1485	651
139	1495	641
140	1508	631
141	1518	620
142	1528	609
143	1540	599
144	1553	589
145	1563	578
146	1573	567
147	1584	556
148	1592	545
149	1605	535
150	1614	524
151	1623	512
152	1635	502
153	1643	490
154	1653	480
155	1663	469
156	1674	458
157	1683	447
158	1691	436
159	1702	425
160	1710	414
161	1719	403
162	1727	392
163	1738	381
164	1748	370
165	1757	359
166	1769	349
167	1778	338
168	1787	327
169	1799	317
170	1807	306
171	1818	296
172	1834	286
173	1844	275
174	1852	264
175	1863	254
176	1874	243
177	1883	232
178	1895	222
179	1905	211
180	1914	200
181	1926	190
182	1941	180
183	1953	169
184	1963	159
185	1976	148
186	1992	138
187	2002	127
188	2011	117
189	2020	106
190	2031	95
191	2042	85
192	2050	74
193	2061	63
194	2071	53
195	2079	42
196	2089	31
197	2100	21
198	2108	10
199	2119	0
